
"DC2107EW - Religion by sex by age"
"ONS Crown Copyright Reserved [from Nomis on 5 August 2017]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Area Type  :","countries"
"Area Name  :","England and Wales"
"Religion   :","All categories: Religion"

"Age","Males","Females"

"Age 0 to 4",1789744,1707006
"Age 5 to 7",985339,941700
"Age 8 to 9",619575,589097
"Age 10 to 14",1668191,1590486
"Age 15",354513,333481
"Age 16 to 17",714220,677015
"Age 18 to 19",739276,720880
"Age 20 to 24",1919169,1888076
"Age 25 to 29",1914298,1922311
"Age 30 to 34",1842456,1841459
"Age 35 to 39",1855920,1876241
"Age 40 to 44",2027932,2071157
"Age 45 to 49",2028286,2072240
"Age 50 to 54",1786690,1815004
"Age 55 to 59",1573599,1610316
"Age 60 to 64",1658007,1719155
"Age 65 to 69",1299081,1375080
"Age 70 to 74",1032457,1146215
"Age 75 to 79",804697,972850
"Age 80 to 84",552538,785467
"Age 85 and over",407388,847300




"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"","be affected, particularly small counts at the lowest geographies"


"","The voluntary question on religion in the 2011 Census was intended to capture"
"","people's religious affiliation and identification at the time of the Census"
"","irrespective of whether they practised or believed in that religion or how"
"","important it was in their lives.  If a person had no religion then the"
"first","important it was in their lives.  If a person had no religion then the"
"","of a series of tick boxes could be selected.  Care should be taken when"
"using","of a series of tick boxes could be selected.  Care should be taken when"
"","these data not to infer, or allow the inference by others, that the"
"practice","these data not to infer, or allow the inference by others, that the"
"","of a religion or specific religious activities that are expected of"
"believers","of a religion or specific religious activities that are expected of"
"","has been measured.  Unlike other census questions where missing answers are"
"","imputed, this question was voluntary, and where no answer was provided the"
"","response is categorised as 'not stated'."
"","response is categorised as 'not stated'."


"","Due to an error in the processing of census data, the number of usual"
"residents","Due to an error in the processing of census data, the number of usual"
"","in the 'Religion not stated' category has been overestimated by a total of"
"62,000 for three","in the 'Religion not stated' category has been overestimated by a total of"
"","local authorities: Camden, Islington and Tower Hamlets. More information"
"from","local authorities: Camden, Islington and Tower Hamlets. More information"
"","local authorities: Camden, Islington and Tower Hamlets. More information"
"","http://www.ons.gov.uk/ons/guide-method/census/2011/census-data/census-products--issues-and-corrections/index.html"
"","http://www.ons.gov.uk/ons/guide-method/census/2011/census-data/census-products--issues-and-corrections/index.html"

