
"DC2107EW - Religion by sex by age"
"ONS Crown Copyright Reserved [from Nomis on 5 August 2017]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Area Type  :","countries"
"Area Name  :","England and Wales"
"Religion   :","Muslim"

"Age","Males","Females"

"Age 0 to 4",162491,155461
"Age 5 to 7",89982,87137
"Age 8 to 9",55227,52885
"Age 10 to 14",126290,119190
"Age 15",24173,22301
"Age 16 to 17",46793,42189
"Age 18 to 19",46526,40696
"Age 20 to 24",124031,114010
"Age 25 to 29",138826,134679
"Age 30 to 34",141767,128511
"Age 35 to 39",122453,104713
"Age 40 to 44",96902,82226
"Age 45 to 49",64874,55118
"Age 50 to 54",52656,45243
"Age 55 to 59",39631,35369
"Age 60 to 64",22272,24618
"Age 65 to 69",16172,17285
"Age 70 to 74",17871,15871
"Age 75 to 79",11911,10847
"Age 80 to 84",5805,5551
"Age 85 and over",2637,2876




"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"","be affected, particularly small counts at the lowest geographies"


"","The voluntary question on religion in the 2011 Census was intended to capture"
"","people's religious affiliation and identification at the time of the Census"
"","irrespective of whether they practised or believed in that religion or how"
"","important it was in their lives.  If a person had no religion then the"
"first","important it was in their lives.  If a person had no religion then the"
"","of a series of tick boxes could be selected.  Care should be taken when"
"using","of a series of tick boxes could be selected.  Care should be taken when"
"","these data not to infer, or allow the inference by others, that the"
"practice","these data not to infer, or allow the inference by others, that the"
"","of a religion or specific religious activities that are expected of"
"believers","of a religion or specific religious activities that are expected of"
"","has been measured.  Unlike other census questions where missing answers are"
"","imputed, this question was voluntary, and where no answer was provided the"
"","response is categorised as 'not stated'."
"","response is categorised as 'not stated'."


"","Due to an error in the processing of census data, the number of usual"
"residents","Due to an error in the processing of census data, the number of usual"
"","in the 'Religion not stated' category has been overestimated by a total of"
"62,000 for three","in the 'Religion not stated' category has been overestimated by a total of"
"","local authorities: Camden, Islington and Tower Hamlets. More information"
"from","local authorities: Camden, Islington and Tower Hamlets. More information"
"","local authorities: Camden, Islington and Tower Hamlets. More information"
"","http://www.ons.gov.uk/ons/guide-method/census/2011/census-data/census-products--issues-and-corrections/index.html"
"","http://www.ons.gov.uk/ons/guide-method/census/2011/census-data/census-products--issues-and-corrections/index.html"

