
"DC2107EW - Religion by sex by age"
"ONS Crown Copyright Reserved [from Nomis on 5 August 2017]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Area Type  :","countries"
"Area Name  :","England and Wales"
"Religion   :","Religion not stated"

"Age","Males","Females"

"Age 0 to 4",172580,163228
"Age 5 to 7",72390,68261
"Age 8 to 9",43650,41142
"Age 10 to 14",118451,110139
"Age 15",26359,23672
"Age 16 to 17",52475,47035
"Age 18 to 19",54819,47731
"Age 20 to 24",144384,118092
"Age 25 to 29",132975,108332
"Age 30 to 34",122899,100920
"Age 35 to 39",123316,106817
"Age 40 to 44",139410,124173
"Age 45 to 49",148915,137702
"Age 50 to 54",135533,128279
"Age 55 to 59",124910,119472
"Age 60 to 64",131980,126383
"Age 65 to 69",101163,99904
"Age 70 to 74",79421,84486
"Age 75 to 79",61104,75358
"Age 80 to 84",43649,65346
"Age 85 and over",34466,76711




"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"","be affected, particularly small counts at the lowest geographies"


"","The voluntary question on religion in the 2011 Census was intended to capture"
"","people's religious affiliation and identification at the time of the Census"
"","irrespective of whether they practised or believed in that religion or how"
"","important it was in their lives.  If a person had no religion then the"
"first","important it was in their lives.  If a person had no religion then the"
"","of a series of tick boxes could be selected.  Care should be taken when"
"using","of a series of tick boxes could be selected.  Care should be taken when"
"","these data not to infer, or allow the inference by others, that the"
"practice","these data not to infer, or allow the inference by others, that the"
"","of a religion or specific religious activities that are expected of"
"believers","of a religion or specific religious activities that are expected of"
"","has been measured.  Unlike other census questions where missing answers are"
"","imputed, this question was voluntary, and where no answer was provided the"
"","response is categorised as 'not stated'."
"","response is categorised as 'not stated'."


"","Due to an error in the processing of census data, the number of usual"
"residents","Due to an error in the processing of census data, the number of usual"
"","in the 'Religion not stated' category has been overestimated by a total of"
"62,000 for three","in the 'Religion not stated' category has been overestimated by a total of"
"","local authorities: Camden, Islington and Tower Hamlets. More information"
"from","local authorities: Camden, Islington and Tower Hamlets. More information"
"","local authorities: Camden, Islington and Tower Hamlets. More information"
"","http://www.ons.gov.uk/ons/guide-method/census/2011/census-data/census-products--issues-and-corrections/index.html"
"","http://www.ons.gov.uk/ons/guide-method/census/2011/census-data/census-products--issues-and-corrections/index.html"

